canonical_id,canonical_name,normalized_name,pff_player_id,cfbd_id,combine_normalized_player,combine_cfb_player_id,combine_pfr_player_id,combine_gsis_id,colleges,college_seasons,college_seasons_count,draft_season,in_pff,in_combine,in_cfbd
treon-harris-florida-2015,Treon Harris,treon harris,27651.0,3121647,,,,,Florida,Florida:2014;Florida:2015,2,2016,True,False,True
brandon-goodson-wofford-2015,Brandon Goodson,brandon goodson,27744.0,552549,,,,,Wofford,Wofford:2015,1,2016,True,False,True
brad-butler-wofford-2015,Brad Butler,brad butler,27810.0,,,,,,Wofford,Wofford:2015,1,2016,True,False,False
j-p-caruso-app-state-2015,J.P. Caruso,jp caruso,27814.0,3123654,,,,,App State,App State:2015,1,2016,True,False,True
troy-flutie-boston-college-2015,Troy Flutie,troy flutie,27900.0,,,,,,Boston College,Boston College:2015,1,2016,True,False,False
damon-mitchell-arkansas-2015,Damon Mitchell,damon mitchell,27911.0,,,,,,Arkansas,Arkansas:2014;Arkansas:2015,2,2016,True,False,False
darrien-boone-austin-peay-2014,Darrien Boone,darrien boone,27927.0,546599,,,,,Austin Peay,Austin Peay:2014,1,2015,True,False,True
brandon-cox-arkansas-state-2014,Brandon Cox,brandon cox,28002.0,,,,,,Arkansas State,Arkansas State:2014,1,2015,True,False,False
darius-wade-boston-college-2015,Darius Wade,darius wade,28055.0,3122790,,,,,Boston College,Boston College:2014;Boston College:2015,2,2016,True,False,True
marcus-terrell-arkansas-pine-bluff-2014,Marcus Terrell,marcus terrell,28082.0,553010,,,,,Arkansas-Pine Bluff,Arkansas-Pine Bluff:2014,1,2015,True,False,True
larry-brihm-bethune-cookman-2015,Larry Brihm,larry brihm,28131.0,555829,,,,,Bethune-Cookman,Bethune-Cookman:2014;Bethune-Cookman:2015,2,2016,True,False,True
luke-rubenzer-california-2014,Luke Rubenzer,luke rubenzer,28165.0,,,,,,California,California:2014,1,2015,True,False,False
johnny-jefferson-baylor-2015,Johnny Jefferson,johnny jefferson,28170.0,,,,,,Baylor,Baylor:2015,1,2016,True,False,False
chris-merchant-buffalo-2015,Chris Merchant,christopher merchant,28180.0,3125767,,,,,Buffalo,Buffalo:2015,1,2016,True,False,True
chase-forrest-california-2015,Chase Forrest,chase forrest,28221.0,3127204,,,,,California,California:2015,1,2016,True,False,True
shaq-vann-eastern-michigan-2015,Shaq Vann,shaq vann,28243.0,,,,,,Eastern Michigan,Eastern Michigan:2015,1,2016,True,False,False
j-j-cosentino-florida-state-2015,J.J. Cosentino,jj cosentino,28282.0,3122916,,,,,Florida State,Florida State:2015,1,2016,True,False,True
reginald-bell-eastern-michigan-2015,Reginald Bell,reginald bell,28286.0,3125823,,,,,Eastern Michigan,Eastern Michigan:2014;Eastern Michigan:2015,2,2016,True,False,True
joe-walker-delaware-2015,Joe Walker,joseph walker,28316.0,3912052,,,,,Delaware,Delaware:2015,1,2016,True,False,True
don-king-iii-sam-houston-2014,Don King III,don king,28438.0,535337,,,,,Sam Houston,Sam Houston:2014,1,2015,True,False,True
zander-diamont-indiana-2015,Zander Diamont,zander diamont,28542.0,3128254,,,,,Indiana,Indiana:2014;Indiana:2015,2,2016,True,False,True
matt-adam-indiana-state-2015,Matt Adam,matthew adam,28591.0,547511,,,,,Indiana State,Indiana State:2015,1,2016,True,False,True
zach-davidson-kansas-state-2015,Zach Davidson,zachary davidson,28628.0,3125059,,,,,Kansas State,Kansas State:2015,1,2016,True,False,True
derrick-mitchell-jr-iowa-2015,Derrick Mitchell Jr.,derrick mitchell,28650.0,,,,,,Iowa,Iowa:2015,1,2016,True,False,False
nathan-strock-kent-state-2014,Nathan Strock,nathan strock,28743.0,550246,,,,,Kent State,Kent State:2014,1,2015,True,False,True
price-wilson-louisiana-tech-2015,Price Wilson,price wilson,28774.0,3122755,,,,,Louisiana Tech,Louisiana Tech:2015,1,2016,True,False,True
chad-president-tulsa-2015,Chad President,chad president,28862.0,3917007,,,,,Tulsa,Tulsa:2015,1,2016,True,False,True
clay-holgorsen-memphis-2015,Clay Holgorsen,clay holgorsen,28940.0,3126207,,,,,Memphis,Memphis:2015,1,2016,True,False,True
kyle-shurmur-vanderbilt-2015,Kyle Shurmur,kyle shurmur,29110.0,3915776,kyleshurmur,kyle-shurmur-1,ShurKy01,00-0035163,Vanderbilt,Vanderbilt:2015,1,2019,True,True,True
eddie-printz-missouri-2014,Eddie Printz,edward printz,29155.0,546197,,,,,Missouri,Missouri:2014,1,2015,True,False,True
elijah-staley-mississippi-state-2015,Elijah Staley,elijah staley,29280.0,559650,,,,,Mississippi State,Mississippi State:2015,1,2016,True,False,True
brent-stockstill-middle-tennessee-2015,Brent Stockstill,brent stockstill,29288.0,545683,,,,,Middle Tennessee,Middle Tennessee:2014;Middle Tennessee:2015,2,2016,True,False,True
dash-duncan-nicholls-2014,Dash Duncan,dash duncan,29356.0,533375,,,,,Nicholls,Nicholls:2014,1,2015,True,False,True
bo-hines-nc-state-2014,Bo Hines,bo hines,29430.0,,,,,,NC State,NC State:2014,1,2015,True,False,False
dajon-williams-north-texas-2014,Dajon Williams,dajon williams,29452.0,549918,,,,,North Texas,North Texas:2014,1,2015,True,False,True
easton-stick-north-dakota-state-2015,Easton Stick,easton stick,29466.0,3120590,eastonstick,,SticEa00,00-0035282,North Dakota State,North Dakota State:2015,1,2019,True,True,True
hunter-fralick-nevada-2015,Hunter Fralick,hunter fralick,29510.0,3124618,,,,,Nevada,Nevada:2015,1,2016,True,False,True
lamar-jordan-new-mexico-2015,Lamar Jordan,lamar jordan,29577.0,551028,,,,,New Mexico,New Mexico:2014;New Mexico:2015,2,2016,True,False,True
nick-mitchell-oregon-state-2015,Nick Mitchell,nicholas mitchell,29696.0,3127333,,,,,Oregon State,Oregon State:2015,1,2016,True,False,True
brendan-cope-ohio-2015,Brendan Cope,brendan cope,29727.0,,,,,,Ohio,Ohio:2015,1,2016,True,False,False
marcus-mcmaryion-oregon-state-2015,Marcus McMaryion,marcus mcmaryion,29810.0,3127332,,,,,Oregon State,Oregon State:2015,1,2016,True,False,True
kolney-cassel-sacramento-state-2015,Kolney Cassel,kolney cassel,29831.0,545334,,,,,SMU;Sacramento State,SMU:2014;Sacramento State:2015,2,2016,True,False,True
devlin-hodges-samford-2015,Devlin Hodges,devlin hodges,29838.0,3127051,,,,,Samford,Samford:2015,1,2016,True,False,True
michael-knox-savannah-st-2014,Michael Knox,michael knox,29962.0,,,,,,Savannah St,Savannah St:2014,1,2015,True,False,False
jordan-davis-louisiana-2015,Jordan Davis,jordan davis,30148.0,3124912,,,,,Louisiana,Louisiana:2015,1,2016,True,False,True
dalton-douglas-south-dakota-state-2015,Dalton Douglas,dalton douglas,30153.0,,,,,,South Dakota State,South Dakota State:2015,1,2016,True,False,False
connor-white-texas-state-2015,Connor White,connor white,30266.0,3125432,,,,,Texas State,Texas State:2014;Texas State:2015,2,2016,True,False,True
austin-whipple-massachusetts-2014,Austin Whipple,austin whipple,30308.0,545642,,,,,Massachusetts,Massachusetts:2014,1,2015,True,False,True
jarrad-hayes-southern-2015,Jarrad Hayes,jarrad hayes,30338.0,3162312,,,,,Southern,Southern:2015,1,2016,True,False,True
parker-adamson-southern-miss-2014,Parker Adamson,parker adamson,30339.0,552862,,,,,Southern Miss,Southern Miss:2014,1,2015,True,False,True
eli-dunne-northern-iowa-2015,Eli Dunne,eli dunne,30457.0,3120656,,,,,Northern Iowa,Northern Iowa:2015,1,2016,True,False,True
kent-myers-utah-state-2015,Kent Myers,kent myers,30603.0,3125353,,,,,Utah State,Utah State:2014;Utah State:2015,2,2016,True,False,True
nick-smith-wyoming-2015,Nick Smith,nicholas smith,30748.0,3125418,,,,,Wyoming,Wyoming:2015,1,2016,True,False,True
michael-julian-toledo-2015,Michael Julian,michael julian,30757.0,552746,,,,,Toledo,Toledo:2014;Toledo:2015,2,2016,True,False,True
cameron-thomas-western-michigan-2014,Cameron Thomas,cameron thomas,30774.0,545935,,,,,Western Michigan,Western Michigan:2014,1,2015,True,False,True
ricky-davis-youngstown-state-2015,Ricky Davis,ricky davis,30821.0,,,,,,Youngstown State,Youngstown State:2015,1,2016,True,False,False
barton-mann-eastern-kentucky-2014,Barton Mann,barton mann,30922.0,554825,,,,,Eastern Kentucky,Eastern Kentucky:2014,1,2015,True,False,True
david-salmon-campbell-2014,David Salmon,david salmon,30964.0,552434,,,,,Campbell,Campbell:2014,1,2015,True,False,True
reilly-hennessey-eastern-washington-2015,Reilly Hennessey,reilly hennessey,30975.0,3119292,,,,,Eastern Washington,Eastern Washington:2015,1,2016,True,False,True
dominique-allen-the-citadel-2015,Dominique Allen,dominique allen,31009.0,3131803,,,,,The Citadel,The Citadel:2014;The Citadel:2015,2,2016,True,False,True
hunter-wells-youngstown-state-2015,Hunter Wells,hunter wells,31084.0,3140598,,,,,Youngstown State,Youngstown State:2015,1,2016,True,False,True
